29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/Titlebar' added. (04A3CBE8)
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/ToggleButton' WindowRenderers.
29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/ToggleButton' added. (04A3CC90)
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/Tooltip' WindowRenderers.
29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/Tooltip' added. (04A3CD38)
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/ItemListbox' WindowRenderers.
29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/ItemListbox' added. (04A3CDE0)
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/Tree' WindowRenderers.
29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/Tree' added. (04A3CE88)
29/04/2011 21:46:45 (Std) 	Creating falagard mapping for type 'TaharezLook/Button' using base type 'CEGUI/PushButton', window renderer 'Falagard/Button' Look'N'Feel 'TaharezLook/Button' and RenderEffect ''. (0021D0B0)
29/04/2011 21:46:45 (Std) 	Creating falagard mapping for type 'TaharezLook/Checkbox' using base type 'CEGUI/Checkbox', window renderer 'Falagard/ToggleButton' Look'N'Feel 'TaharezLook/Checkbox' and RenderEffect ''. (0021D0B0)
29/04/2011 21:46:45 (Std) 	Creating falagard mapping for type 'TaharezLook/ImageButton' using base type 'CEGUI/PushButton', window renderer 'Falagard/Button' Look'N'Feel 'TaharezLook/ImageButton' and RenderEffect ''. (0021D0B0)
29/04/2011 21:46:45 (Std) 	Creating falagard mapping for type 'TaharezLook/RadioButton' using base type 'CEGUI/RadioButton', window renderer 'Falagard/ToggleButton' Look'N'Feel 'TaharezLook/RadioButton' and RenderEffect ''. (0021D0B0)
29/04/2011 21:46:45 (Std) 	Creating falagard mapping for type 'TaharezLook/FrameWindow' using base type 'CEGUI/FrameWindow', window renderer 'Falagard/FrameWindow' Look'N'Feel 'TaharezLook/FrameWindow' and RenderEffect ''. (0021D0B0)
29/04/2011 21:46:45 (Std) 	Creating falagard mapping for type 'TaharezLook/Titlebar' using base type 'CEGUI/Titlebar', window renderer 'Falagard/Titlebar' Look'N'Feel 'TaharezLook/Titlebar' and RenderEffect ''. (0021D0B0)
29/04/2011 21:46:45 (Std) 	Creating falagard mapping for type 'TaharezLook/SystemButton' using base type 'CEGUI/PushButton', window renderer 'Falagard/Button' Look'N'Feel 'TaharezLook/Button' and RenderEffect ''. (0021D0B0)
29/04/2011 21:46:45 (Std) 	Creating falagard mapping for type 'TaharezLook/Editbox' using base type 'CEGUI/Editbox', window renderer 'Falagard/Editbox' Look'N'Feel 'TaharezLook/Editbox' and RenderEffect ''. (0021D0B0)
29/04/2011 21:46:45 (Std) 	Creating falagard mapping for type 'TaharezLook/MultiLineEditbox' using base type 'CEGUI/MultiLineEditbox', window renderer 'Falagard/MultiLineEditbox' Look'N'Feel 'TaharezLook/MultiLineEditbox' and RenderEffect ''. (0021D0B0)
29/04/2011 21:46:45 (Std) 	Creating falagard mapping for type 'TaharezLook/Menubar' using base type 'CEGUI/Menubar', window renderer 'Falagard/Menubar' Look'N'Feel 'TaharezLook/Menubar' and RenderEffect ''. (0021D0B0)
29/04/2011 21:46:45 (Std) 	Creating falagard mapping for type 'TaharezLook/PopupMenu' using base type 'CEGUI/PopupMenu', window renderer 'Falagard/PopupMenu' Look'N'Feel 'TaharezLook/PopupMenu' and RenderEffect ''. (0021D0B0)
29/04/2011 21:46:45 (Std) 	Creating falagard mapping for type 'TaharezLook/MenuItem' using base type 'CEGUI/MenuItem', window renderer 'Falagard/MenuItem' Look'N'Feel 'TaharezLook/MenuItem' and RenderEffect ''. (0021D0B0)
29/04/2011 21:46:45 (Std) 	Creating falagard mapping for type 'TaharezLook/AlternateProgressBar' using base type 'CEGUI/ProgressBar', window renderer 'Falagard/ProgressBar' Look'N'Feel 'TaharezLook/AltProgressBar' and RenderEffect ''. (0021D0B0)
29/04/2011 21:46:45 (Std) 	Creating falagard mapping for type 'TaharezLook/ProgressBar' using base type 'CEGUI/ProgressBar', window renderer 'Falagard/ProgressBar' Look'N'Feel 'TaharezLook/ProgressBar' and RenderEffect ''. (0021D0B0)
29/04/2011 21:46:45 (Std) 	Creating falagard mapping for type 'TaharezLook/VUMeter' using base type 'CEGUI/ProgressBar', window renderer 'Falagard/ProgressBar' Look'N'Feel 'TaharezLook/VUMeter' and RenderEffect ''. (0021D0B0)
29/04/2011 21:46:45 (Std) 	Creating falagard mapping for type 'TaharezLook/VerticalScrollbar' using base type 'CEGUI/Scrollbar', window renderer 'Falagard/Scrollbar' Look'N'Feel 'TaharezLook/VerticalScrollbar' and RenderEffect ''. (0021D0B0)
29/04/2011 21:46:45 (Std) 	Creating falagard mapping for type 'TaharezLook/HorizontalScrollbar' using base type 'CEGUI/Scrollbar', window renderer 'Falagard/Scrollbar' Look'N'Feel 'TaharezLook/HorizontalScrollbar' and RenderEffect ''. (0021D0B0)
